"PII","DOI","EID","Publication Date","Open Access","Content Depth","Source","Abstract","Methods","Results","Conclusions"
"","https://doi.org/10.1134/S2635167625601664","2-s2.0-105031704939","2025-12","No","Abstract","Artificial Intelligence As a Driver of Modern Science: from Biomedicine to International Megascience Projects","Abstract: The key developments of the past two decades highlighting the transformation of scientific research driven by artificial intelligence (AI) are summarized. Both well-established and emerging applications of AI are explored: ranging from biomedicine, pharmaceuticals, nutrition science, education, data science, engineering, and fundamental disciplines to synchrotron radiation facilities and advanced megascience facilities. A detailed overview of AI approaches and architectures implemented in major international projects is provided, including the Large Hadron Collider and its High-Luminosity upgrade; the FAIR facility; the DUNE and Belle II experiments; the LIGO, Virgo, and KAGRA gravitational-wave observatories; the LSST survey telescope; the SKA radio interferometer; the Euclid space observatory; the ESS, SNS, and J-PARC neutron sources; the ITER and JT-60SA fusion reactors; the NIF laser facility; the ELI-NP laser complex; exascale climate simulation platforms; and cryo-electron microscopy systems powered by AlphaFold technology. The work is intended for a broad audience of specialists interested in the methodological, technical, and organizational aspects of AI integration into scientific research.","Narrative overview summarizing AI-driven changes in science and a detailed overview of AI approaches and architectures used in major international projects. No formal search strategy, sample, or analytic method is described.","AI applications are described across biomedicine, pharmaceuticals, nutrition science, education, data science, engineering, fundamental disciplines, and major facilities such as the LHC, LIGO, SKA, Euclid, ITER, and cryo-EM systems with AlphaFold.","AI is presented as a major driver of modern scientific research across disciplines and large-scale projects. No explicit limitations are stated."
"","https://doi.org/10.1038/s41586-026-10652-y","2-s2.0-105043785067","2026-07","Yes","Abstract","A multi-agent system for automating scientific discovery","Scientific discovery is driven by the iterative process of observation, hypothesis generation, experimentation and data analysis. Despite recent advancements in applying artificial intelligence (AI) to biology, no system has yet automated all these stages<sup>1, 2–3</sup>. Here we introduce Robin, a multi-agent system capable of fully automating both hypothesis generation and data analysis for experimental biology. By integrating literature search agents with data analysis agents, Robin can generate hypotheses, propose experiments, interpret experimental results and generate updated hypotheses, achieving a semi-autonomous approach to scientific discovery. By applying this system, we were able to identify promising therapeutic candidates for dry age-related macular degeneration, the major cause of blindness in the developed world<sup>4,5</sup>. Robin proposed enhancing retinal pigment epithelium phagocytosis as a therapeutic strategy, and identified and confirmed in vitro efficacy for ripasudil and KL001. Ripasudil is a clinically used Rho kinase inhibitor that, to our knowledge, has never previously been proposed for the treatment of dry age-related macular degeneration. To elucidate the mechanism of ripasudil-induced upregulation of phagocytosis, Robin then proposed and analysed a follow-up RNA sequencing experiment, which revealed upregulation of ABCA1, which encodes a lipid efflux pump and represents a possible novel target. All hypotheses, experimental directions, data analyses and data figures in the main text of this report were produced by Robin. As one of the first AI systems to autonomously discover and validate novel therapeutic candidates within an iterative lab-in-the-loop framework, Robin establishes a new paradigm for AI-driven scientific discovery.","Robin, a multi-agent AI system, integrated literature search agents with data analysis agents to automate hypothesis generation, experiment proposal, result interpretation, and updated hypothesis generation for experimental biology.","Robin identified therapeutic candidates for dry age-related macular degeneration, including ripasudil and KL001, and confirmed in vitro efficacy. Follow-up RNA sequencing implicated ABCA1 as a possible novel target.","Robin demonstrates a semi-autonomous, lab-in-the-loop approach to scientific discovery and establishes a new paradigm for AI-driven discovery. The work is limited to a single application in dry age-related macular degeneration."
"S1383762122001059","https://doi.org/10.1016/j.sysarc.2022.102550","2-s2.0-85130364650","2022-07","No","Full Text","VenusAI: An artificial intelligence platform for scientific discovery on supercomputers","Since the machine learning platform can provide one-stop artificial intelligence (AI) application solutions, it has been widely used in the industrial and commercial internet fields in recent years. Based on the heterogeneous accelerator cards, scientific discovery using large-scale computation and massive data is a significant tendency in the future. However, building a platform for scientific discovery remains challenging, including large-scale heterogeneous resource scheduling and support for massive multi-source data. To free researchers from tedious resource management and environmental configuration, we propose a VenusAI platform for large-scale computing scenarios in scientific research, based on heterogeneous resources scheduling framework. This paper firstly illustrates the VenusAI platform architecture design scheme based on the supercomputers and elaborates on the virtualization and containerization of the underlying hardware resources. Next, a technical framework for heterogeneous resource aggregation and scheduling is proposed. A unified resource interface in the application service layer is introduced. Considering the core three parts of the AI scenario: data, model, and computing power, modularized service decoupling is carried out. Furthermore, three types of experiments are evaluated on the supercomputers and show that the performance of the scheduling framework on virtual clusters is better than that on common clusters. Finally, three scientific discovery applications deployed on VenusAI, i.e., new energy forecasting, materials design, and unmanned aerial vehicle planning, demonstrate the advantages of the platform in solving practical scientific problems.","Design and implementation paper for the VenusAI platform on supercomputers, using V-Slurm-based KVM virtualization, Kubernetes container management, and Ceph/Apache Drill for multi-source data access. Evaluation uses 200 valid historical task records and experiments on 10-node virtualized and common clusters.","On 200-task experiments, the V-cluster reduced overall running time by 20% and maintained GPU occupancy above 87% with idle rate below 14%. Applications for PV forecasting, materials design, and UAV clustering demonstrated practical deployment on the platform.","VenusAI integrates heterogeneous HPC resources and AI tools to simplify scientific research by reducing resource-management and environment-setup burden. The authors note future work on upgrading scheduling and sparse matrix multiplication to support larger-scale scientific computing."
"","https://doi.org/10.1142/S0218271825400097","2-s2.0-85219148699","2026-04","No","Abstract","AI in the cosmos","Artificial intelligence (AI) is revolutionizing research by enabling the efficient analysis of large datasets and the discovery of hidden patterns. In astrophysics, AI has become essential, transforming the classification of celestial sources, data modeling, and the interpretation of observations. In this review, I highlight examples of AI applications in astrophysics, including source classification, spectral energy distribution modeling, and discuss the advancements achievable through generative AI. However, the use of AI introduces challenges, including biases, errors, and the ""black box""nature of AI models, which must be resolved before their application. These issues can be addressed through the concept of Human-Guided AI (HG-AI), which integrates human expertise and domain-specific knowledge into AI applications. This approach aims to ensure that AI is applied in a robust, interpretable, and ethical manner, leading to deeper insights and fostering scientific excellence.","Review highlighting examples of AI applications in astrophysics, including source classification, spectral energy distribution modeling, and generative AI; no formal search or review method is described.","AI is presented as transforming source classification, data modeling, and observation interpretation in astrophysics. The review also identifies biases, errors, and black-box limitations, and proposes Human-Guided AI as a way to improve robustness and interpretability.","AI should be applied in a robust, interpretable, and ethical manner using Human-Guided AI to combine human expertise with domain knowledge. Key limitations are model bias, errors, and black-box behavior that must be resolved first."
"S0870255126001733","https://doi.org/10.1016/j.repc.2026.06.002","","2026-08","Yes","Full Text","Scientific publishing in the era of artificial intelligence: Integrity and responsibility","","Commentary on scientific publishing and AI; no formal study methods, search strategy, or empirical analysis are described.","AI is already influencing research generation, data analysis, writing, and peer review, with journals and publishers adopting AI guidelines, disclosure requirements, and detection tools. The paper highlights risks including fabricated text, plagiarism, image manipulation, papermills, bias, and reduced trust.","AI should support, not replace, human expertise and ethical oversight in scientific publishing. Clear policies, transparency, disclosure, and ongoing institutional guidance are needed, though ethics rules are struggling to keep pace with the technology."
"S1751157725000896","https://doi.org/10.1016/j.joi.2025.101727","2-s2.0-105015427085","2025-11","No","Full Text","Artificial intelligence in scientific research: Challenges, opportunities and the imperative of a human-centric synergy","This work offers a critical and evidence-based synthesis of the conceptual, methodological, and social implications of artificial intelligence (AI) in scientific research, significantly enriched by an informetric perspective. The analysis transcends descriptive overviews and simple cataloging of products, providing a deeper understanding of the opportunities AI presents, such as accelerated data analysis, hypothesis generation, and drug discovery. At the same time, crucial challenges that AI introduces are explored, including knowledge monocultures, algorithmic bias, reproducibility issues, and the impact on research integrity and evaluation. The original contribution of this paper lies in the integration of informetric analysis to quantify the influence of AI on the production and dissemination of scientific knowledge, highlighting both its potential as an analytical tool and the risk of bias in the academic record. The paper emphasizes the need for frameworks that harmonize technological capabilities with the irreplaceable ingenuity of human thought, promoting balanced collaboration between AI and researchers, where AI serves as a tool to increase productivity and human oversight ensures ethical rigor, critical evaluation, and creative exploration.","Critical and evidence-based synthesis with an informetric perspective, integrating conceptual analysis, methodological review, and informetric evidence. No formal empirical study design or search strategy is described.","AI is reported to accelerate data analysis, hypothesis generation, literature review, and citation analysis, but it also introduces bias, reproducibility problems, and knowledge monocultures. The paper highlights XAI and human oversight as needed to improve transparency and reliability.","AI should complement, not replace, human creativity, judgment, and ethical oversight in scientific research. Key limitations include opacity, bias, reproducibility risks, and the danger of narrowing exploration toward easily modeled questions."
"","https://doi.org/10.1134/S1063739725600797","2-s2.0-105040350799","2026-02","No","Abstract","Artificial Intelligence As a Driver of Modern Science: From Biomedicine to International Megascience Projects","Abstract: This review summarizes the key developments of the past two decades, highlighting the transformation of scientific research driven by artificial intelligence (AI). It explores both well-established and emerging applications of AI—ranging from biomedicine, pharmaceuticals, nutrition science, education, data science, engineering, and fundamental disciplines to synchrotron radiation facilities and advanced megascience infrastructures. The paper provides a detailed overview of AI approaches and architectures implemented in major international projects, including the Large Hadron Collider and its High-Luminosity upgrade, the FAIR facility, the DUNE and Belle II experiments, the LIGO, Virgo, and KAGRA gravitational-wave observatories, the LSST survey telescope, the SKA radio interferometer, the Euclid space observatory, the ESS, SNS, and J-PARC neutron sources, the ITER and JT-60SA fusion reactors, the NIF laser facility, the ELI-NP laser complex, exascale climate simulation platforms, and cryo-electron microscopy pipelines powered by AlphaFold technology. The article is intended for a broad audience of specialists interested in the methodological, technical, and organizational aspects of AI integration into scientific research.","Narrative review summarizing key developments over the past two decades, with an overview of AI applications and architectures across biomedicine, science, and major megascience projects. No formal search strategy or systematic method is described.","AI is presented as transforming research across biomedicine, pharmaceuticals, education, engineering, and fundamental science, including use in major facilities such as the LHC, LIGO, LSST, SKA, Euclid, ITER, and cryo-EM pipelines powered by AlphaFold. The abstract highlights methodological, technical, and organizational aspects of these implementations.","AI is framed as a major driver of modern science across both applied and fundamental domains. The review is broad in scope, but the abstract provides no specific limitations."
"S0022030225005223","https://doi.org/10.3168/jds.2025-26385","2-s2.0-105013749886","2025-09","Yes","Full Text","Artificial intelligence meets dairy cow research: Large language model's application in extracting daily time-activity budget data for a meta-analytical study","This study investigates the application of ChatGPT-4 in extracting and classifying behavioral data from scientific literature, focusing on the daily time-activity budget of dairy cows. Accurate analysis of time-activity budgets is crucial for understanding dairy cow welfare and productivity. Traditional methods are time-intensive and prone to bias. This study evaluates the accuracy and reliability of ChatGPT-4 in data extraction and data categorization, considering explicit, inferred, and ambiguous labels for the data, compared with human analysis. A collection of 55 papers on dairy cow behavior were used in the studies. Data extraction for eating, ruminating, and lying behaviors was performed manually and via ChatGPT-4. The artificial intelligence (AI) model's accuracy and labeling performance were assessed through descriptive and statistical analyses. Mixed model analysis was used to compare human and AI outcomes. Artificial intelligence and human time budget data showed significant differences for eating and ruminating but not for lying. ChatGPT-4 estimated daily eating time at 22.3% compared with 23.8% by humans. For ruminating, AI reported 33.4% against 31.7% by humans. Daily lying times were nearly identical, with AI at 44.4% and human analysis at 44.2%. The global accuracy in data extraction was ∼75%, and labeling accuracy reached 67.3%, with significant variability across behavioral categories. In general, the AI model demonstrates moderate accuracy in extracting and categorizing behavioral data, particularly for inferred and ambiguous data. However, explicit data extraction posed challenges, highlighting AI's dependence on input quality and structure. The consistency between AI and human analyses for lying behavior underscores AI's potential for specific applications. ChatGPT-4 offers a promising complementary tool for behavioral research, enabling efficient and scalable data extraction. However, improvements in AI algorithms and standardized reporting in scientific literature are essential for broader applicability. The study advocates for hybrid approaches combining AI capabilities with human oversight to enhance the reliability and accuracy of dairy cow behavioral research.","Systematic literature search in Scopus identified 55 dairy cow behavior papers; humans and ChatGPT-4 extracted eating, ruminating, and lying data, with accuracy assessed by descriptive statistics, Pearson correlation, and linear mixed models.","ChatGPT-4 extracted data with 75.4% mean accuracy and 67.3% labeling accuracy. Human-AI differences were significant for eating (22.5% vs 23.8%, P=0.0011) and ruminating (33.4% vs 31.7%, P=0.0228), but not lying (44.4% vs 44.2%, P=0.8573).","ChatGPT-4 is a useful supplementary tool for literature-based behavioral data extraction, especially for inferred and ambiguous data. Its performance is limited for explicitly reported information, so human oversight and more standardized reporting are still needed."
"S266638992030218X","https://doi.org/10.1016/j.patter.2020.100162","2-s2.0-85099061539","2021-01","Yes","Full Text","The AI for Scientific Discovery Network+","The Artificial Intelligence and Augmented Intelligence for Automated Investigation for Scientific Discovery Network<sup>+</sup> (AI3SD) was established in response to the UK Engineering and Physical Sciences Research Council (EPSRC) late-2017 call for a Network<sup>+</sup> to promote cutting-edge research in artificial intelligence to accelerate groundbreaking scientific discoveries. This article provides the philosophical, scientific, and technical underpinnings of the Network<sup>+</sup>, the history of the different domains represented in the Network<sup>+</sup>, and the specific focus of the Network<sup>+</sup>. The activities, collaborations, and research covered in the first year of the Network<sup>+</sup> have highlighted the significant challenges in the chemistry and augmented and artificial intelligence space. These challenges are shaping the future directions of the Network<sup>+</sup>. The article concludes with a summary of the lessons learned in running this Network<sup>+</sup> and introduces our plans for the future in a landscape redrawn by COVID-19, including rebranding into the AI 4 Scientific Discovery Network (www.ai4science.network). The AI3SD Network<sup>+</sup> was created to accelerate scientific discovery using new AAI techniques. Despite useful short-term impacts, this extensive space still has many unsolved challenges. It is vital that the trajectory of this effort continues, encouraging further collaborations, helping funding recipients realize their potential, and creating vital resources for the AAI for scientific discovery community. A core aspect of our AI3SD philosophy is the importance of the human element in AI, hence why AAI for scientific discovery is our mantra. Humans must remain in the loop for any decision making that requires ethical consideration or the addition of human intelligence. The AI3SD approach combines the best of human and machine intelligence to gain notable acceleration in scientific discovery using transparent, responsible, and explainable AAI. We aim to finish the first term of the AI3SD with a rich collection of resources and useful outputs, enabling members to progress toward the UN sustainability goals in the areas of chemicals and materials discovery. AI3SD will remain a sustainable entity only if members and organizers work together toward AAI. The Artificial Intelligence and Augmented Intelligence for Automated Investigation for Scientific Discovery Network<sup>+</sup> has had an eventful first year, rapidly establishing a diverse community of different disciplines across academia and industry. We share with you our insights into the potential and challenges of the AI for scientific discovery space, coupled with what we have learned about running a research network.","Perspective article describing the inception, first year, activities, and future plans of the UKRI EPSRC-funded AI3SD Network+ focused on AI for chemical and materials discovery. It draws on the network's workshops, conferences, training events, hackathons, and funded pilot projects rather than a formal empirical study.","The network rapidly grew to over 840 members from more than 60 universities and 80 companies, and organized 12 events plus two funding calls supporting seven pilot projects. Key themes identified were novel machine learning, active learning, AI for drug discovery, and AI methods for scientific discovery.","AI3SD concludes that interdisciplinary, human-in-the-loop, transparent and explainable AAI can accelerate scientific discovery, but major challenges remain in data quality, scale, and ethics. The main limitation is that the effort is still early-stage and must become sustainable beyond the initial funding term."
"S2352552526000861","https://doi.org/10.1016/j.jemep.2026.101323","2-s2.0-105049559087","2026-01","No","Full Text","Artificial intelligence and scientific methodology: continuity, disruption, and the next revolution","Background Artificial intelligence is increasingly embedded in scientific research as a methodological agent rather than a mere tool. In fields like medicine and public health, AI systems now participate directly in hypothesis generation, data exploration, and the stabilization of knowledge claims. Within the longue durée of scientific method - from empiricism and statistical inference to computational and data-intensive science - these developments raise the question of whether contemporary AI represents a genuine epistemic discontinuity through its capacity to identify patterns and guide inquiry prior to explicit human theorization. Methodology We adopt a conceptual and analytical approach grounded in philosophy of science and AI ethics. Historical episodes of scientific discovery and methodological change, alongside current applications of AI in biomedical and public health research, are examined to assess continuities and ruptures in scientific practice. This provides a basis to critically analyze how AI reshapes the relationship between prediction and explanation, as well as the ethical and epistemic implications of this transformation. Results/Discussion AI-driven methods enhance predictive performance and exploratory capacity, often identifying empirical regularities before causal or mechanistic explanations are established. While this accelerates discovery, it also heightens concerns about epistemic opacity, automation bias, and an illusion of understanding when prediction substitutes for explanation. We highlight risks related to insufficient external validation across populations, dual-use and privacy issues, and inequities in access to AI resources. In response, we propose a framework for responsible AI integration in science: transparent reporting standards, interpretable modeling in high-stakes contexts, rigorous external validation, and clear institutional accountability. Conclusion/Perspectives AI has the potential to substantially accelerate and broaden scientific discovery. Realizing these benefits, however, requires governance that preserves methodological pluralism, sustains human judgment, and reinforces the norms of reproducible, trustworthy science. Future research and policy should align AI innovation with epistemic responsibility and social equity, ensuring that advances in predictive capacity translate into durable scientific and public health gains.","Conceptual and analytical review grounded in philosophy of science and AI ethics. It examines historical episodes of scientific change alongside current AI applications in biomedical and public health research.","AI methods improve prediction and exploratory capacity, often identifying empirical regularities before causal explanations are established. The paper highlights risks of epistemic opacity, automation bias, insufficient external validation, dual-use and privacy issues, and inequitable access to AI resources.","AI can accelerate and broaden scientific discovery, but governance must preserve methodological pluralism, human judgment, reproducibility, and social equity. A key limitation is that predictive gains can outpace explanation and validation, creating opacity and bias risks."
"","https://doi.org/10.58346/JISIS.2024.I4.035","2-s2.0-85211431148","2024-11","Yes","Abstract","The Role of Artificial Intelligence Technologies in Evaluating the Veracity of Scientific Research","Artificial intelligence technologies are transforming the way scientific research is reviewed to make verification processes more accurate, efficient, and objective. This paper considers AI's role in testing the veracity of academic studies, with a focus on concerns of research fraud, data integrity, and adherence to ethical and methodological standards. Powered by AI, emerging tools allow the tracing of anomalies, inconsistencies, and potential biases in published research works with the help of NLP algorithms and machine learning models. It is also applied to various fields such as plagiarism detection, statistical analysis checking, and the identification of fabricated or manipulated data. However, flaws regarding the use of AI technologies include relying too much on automation of systems and requiring human supervision. Academic institutions and journals can further enhance scientific research to make it more credible, transparent, and coherent-a reason to be trusted globally-by integrating AI into its evaluation process.","Narrative overview of AI technologies for evaluating research veracity; no formal study design or search method is described. Focuses on NLP and machine learning tools used for plagiarism detection, statistical checking, and fabricated-data identification.","AI tools can trace anomalies, inconsistencies, and potential biases in published research and are applied to plagiarism detection, statistical analysis checking, and fabricated or manipulated data identification. The paper also notes risks of overreliance on automation and the need for human supervision.","AI can make research verification more accurate, efficient, and objective, but it should be used with human oversight. The paper argues that integrating AI into evaluation processes can improve credibility, transparency, and trustworthiness."
"S1323893025000802","https://doi.org/10.1016/j.alit.2025.06.005","2-s2.0-105013677635","2025-10","Yes","Full Text","Artificial intelligence in clinical data analysis: A review of large language models, foundation models, digital twins, and allergy applications","Recent advances in computing technology and the development of data utilization environments have rapidly accelerated the application of artificial intelligence in clinical research and healthcare. This review provides a comprehensive overview of current machine learning techniques for analyzing clinical data, with illustrative examples from the field of allergic diseases. In addition to conventional methods for clinical data analysis, we discuss emerging approaches including medical image analysis and time-series modeling of electronic health record data. Recent developments such as large language models and foundation models trained on massive datasets are also discussed. Looking ahead, we explore future directions in analytical methodology, including mathematical modeling, interpretable artificial intelligence, and multimodal learning that integrates various data types. We also introduce the concept of the digital twin—a virtual representation of an individual patient that simulates disease progression and treatment response—as a promising concept for advancing precision medicine. Finally, we discuss the essential role of physicians in the development and implementation of machine learning tools and discuss emerging ethical issues such as fairness, privacy, and patient autonomy. By synthesizing recent technical advances with clinical relevance, this review aims to provide clinicians and researchers with a practical and forward-looking guide to machine learning in clinical medicine, including its growing application in the field of allergy.","Narrative review of AI methods in clinical data analysis, with examples from allergy and general medicine. No formal systematic search or review protocol is described.","The review highlights applications in diagnosis, prediction, imaging, time-series analysis, wearables, EHRs, foundation models, and digital twins. Reported examples include 92.89% accuracy for SLE with random forests, 95.8% image-classification accuracy, and AUCs above 0.8 in many asthma studies.","AI is increasingly able to support clinical medicine, especially in allergy, but real-world adoption remains limited. Key challenges include explainability, privacy, validation, generalizability, and ethical issues for foundation models and digital twins."
"S1386505626001620","https://doi.org/10.1016/j.ijmedinf.2026.106422","2-s2.0-105035058892","2026-07","","Full Text","“Can a chatbot be used in the full-text screening in a systematic review?”","Introduction: Large language model–based artificial intelligence tools are increasingly explored to support systematic reviews, yet evidence regarding their reliability in full-text screening remains limited. This study evaluated the performance of two versions of ChatGPT (4.0 and 5.0) compared with human reviewers during article selection for a systematic review on influenza vaccine effectiveness. Methods: A total of 170 full-text articles were independently assessed for eligibility using predefined inclusion and exclusion criteria. Human reviewers served as the gold standard. ChatGPT 4.0 and 5.0 were prompted using standardized instructions mirroring the review protocol. Agreement with human decisions was evaluated using accuracy, sensitivity, specificity, precision, F1-score, and Cohen's κ. Intra-model reproducibility was assessed for ChatGPT 5.0. Results: ChatGPT 4.0 achieved an accuracy of 0.71 (95% CI: 0.64–0.78) and a Cohen's κ of 0.43, indicating moderate agreement with human reviewers. ChatGPT 5.0 demonstrated improved performance, with accuracy increasing 0.06 to 0.77 (95% CI: 0.70–0.83), sensitivity of 0.87, specificity of 0.70, and κ of 0.55, corresponding to moderate-to-substantial agreement. Intra-model reproducibility for ChatGPT 5.0 showed 80% agreement (κ = 0.60), indicating partial but imperfect consistency. Conclusions: ChatGPT 5.0 outperformed ChatGPT 4.0 in full-text screening accuracy and reproducibility, approaching but not matching human performance. These findings support the use of current LLMs as decision-support tools rather than autonomous reviewers in systematic reviews. Transparent reporting of model versions, prompts, and input quality is essential to ensure credible AI-assisted evidence synthesis.","Systematic review and meta-analysis of RCTs and test-negative design studies on seasonal influenza vaccine effectiveness, with 170 full-text articles screened by ChatGPT 4.0 and 5.0 against human reviewers using standardized prompts and predefined criteria. Performance was assessed with accuracy, sensitivity, specificity, precision, F1-score, Cohen’s κ, and McNemar’s test; ChatGPT 5.0 reproducibility was tested in two runs.","ChatGPT 4.0 achieved 71% accuracy, sensitivity 0.71, specificity 0.66, and κ=0.43; ChatGPT 5.0 improved to 77% accuracy, sensitivity 0.87, specificity 0.70, and κ=0.55. ChatGPT 5.0 showed 80% intra-model agreement (κ=0.60), with both models differing significantly from human reviewers (p=0.009 and p=0.001).","ChatGPT 5.0 outperformed ChatGPT 4.0 and approached but did not match human screening performance. The authors conclude that current LLMs should be used as decision-support tools, not autonomous reviewers, and that transparent reporting and human validation are essential."
"S0165993626004644","https://doi.org/10.1016/j.trac.2026.119107","2-s2.0-105048808595","2026-12","No","Full Text","The AI-driven paradigm shift in metabolomics: Large language models, autonomous agents, and self-driving laboratories","Metabolomics provides the definitive phenotypic readout of biological systems, yet the field remains constrained by the immense complexity of chemical space, facing critical bottlenecks in data mining and the elucidation of “metabolic dark matter.” As high-resolution technologies drive a shift toward high-dimensional, spatiotemporally resolved analysis, the resulting data complexity has rapidly outpaced the processing capabilities of traditional bioinformatics. To surmount these challenges, Generative Artificial Intelligence and specifically Large Language Models (LLMs) are driving a paradigm shift, elevating analytical methodologies from passive pattern recognition to proactive and deep semantic cognition. This review systematically explores how LLMs and autonomous AI agents are reshaping the entire metabolomics workflow. Under a unified “science to decision” conceptual framework, we highlight three pivotal translational pillars: (1) knowledge discovery and planning, enabling automated hypothesis generation and intelligent experimental design; (2) data-to-insight translation, focusing on spectral annotation, de novo structural prediction, and dynamic multi-omics reasoning; and (3) decision and autonomous action, integrating AI agents with robotic hardware to establish closed-loop ""Self-Driving Laboratories"". Finally, we critically evaluate the inherent limitations of these architectures, such as probabilistic hallucinations, physical system drift, and the “signal-to-symbol” gap. To address these challenges, we propose a strategic roadmap toward Native Mass Spectrometry Foundation Models and credible, fully autonomous AI-driven analytical chemistry.","Narrative review of LLMs, autonomous agents, and generative AI in metabolomics, organized under a “science to decision” framework. Includes bibliometric mapping with VOSviewer, Web of Science retrieval, PubMed keyword counts, and literature synthesis across thematic sections.","LLMs are presented as enabling automated hypothesis generation, spectral annotation, data imputation, and closed-loop self-driving laboratories across metabolomics workflows. Reported examples include AstroAgents generating 66% novel hypotheses (36% plausible) and RDD increasing spectral utilization about 5.1-fold.","LLMs and autonomous agents could transform metabolomics into an end-to-end, AI-driven discovery pipeline, but current limits include the signal-to-symbol gap, hallucinations, and physical system drift. The paper calls for Human-AI teaming, native mass spectrometry foundation models, and digital twins to achieve reliable autonomy."
"S175115772600091X","https://doi.org/10.1016/j.joi.2026.101858","2-s2.0-105047232125","2026-09","No","Full Text","The diffusion of artificial intelligence methods in scientific research: growth pattern, disciplinary variation, and task alignment","How AI methods are integrated into scientific research remains poorly understood despite the rapid growth of AI adoption in science. This study provides large-scale empirical documentation of this integration, analyzing 27,636,491 Web of Science publications from 2000 to 2022. Using a task-oriented AI method classification system from Papers with Code, a three-round LLM-based identification pipeline, bibliometric analysis, co-occurrence network analysis, and an entropy-weighted TOPSIS evaluation framework, we identify 361,480 AI application papers spanning 867 distinct methods. Three principal patterns emerge. First, the share of publications employing AI methods almost tripled between 2018 and 2022, with AI present in at least 120 WoS subfields by the end of the period. Second, adoption rates vary by more than an order of magnitude across disciplines (from approximately 9% in Engineering sciences to below 1.5% in the Humanities sciences), a pattern consistent with differences in disciplinary knowledge forms. Third, among application papers referencing multiple AI methods, the study reveals a task-level specialization across a four-stage research lifecycle: interpretable classical methods are associated with early-stage knowledge acquisition and hypothesis construction, while deep learning methods are most prominent at experimental validation, and specialist optimization methods concentrate at result generation and transformation. These findings characterize AI integration as a process of functional stratification, and suggest the pre-2022 methodological ecosystem formed a critical foundation for the emergence of generative AI in science.","Large-scale bibliometric study of 27,636,491 Web of Science papers (2000–2022) using a task-oriented AI taxonomy from Papers with Code, a three-round LLM identification pipeline, co-occurrence network analysis, and entropy-weighted TOPSIS.","AI application papers rose from 0.94% to 2.31% of WoS papers in 2018–2022, with engineering at 9.0% in 2022 versus under 1.5% in humanities. Four-stage task analysis showed classical methods dominate early stages, deep learning peaks at experimental validation, and optimization/text-mining methods concentrate at result generation and transformation.","AI integration in science is structured by disciplinary knowledge form and task-level demand rather than uniform adoption or simple substitution by newer methods. Limitations include a 2022 cutoff, English-only WoS coverage, abstract-based identification, and co-occurrence findings limited to multi-method papers."
"S173857332500628X","https://doi.org/10.1016/j.net.2025.104060","2-s2.0-105029728648","2026-04","Yes","Full Text","Potential applications of artificial intelligence in spent nuclear fuel reprocessing research: A review","Spent nuclear fuel reprocessing plays a pivotal role in achieving a closed nuclear fuel cycle. However, traditional research approaches face significant obstacles due to the highly radioactive environment, limited availability of experimental data, and the inherent complexity of the underlying mechanisms. Artificial intelligence (AI), with its strength in extracting intricate patterns and making predictions from sparse data, offers promising solutions to these longstanding challenges. Recent advancements have demonstrated the potential of AI in diverse domains, including image recognition, process modeling, materials discovery, process control, data analytics, and safety assessment. By addressing the limitations of conventional methods in data handling and mechanistic modeling, AI enhances system safety and operational efficiency under extreme conditions. Furthermore, it complements traditional physics-based approaches, paving the way for transformative research paradigms. As the volume of accessible data grows and algorithms continue to evolve, AI applications in spent fuel reprocessing are expected to expand—enabling fully integrated, self-optimizing control systems and proactive safety monitoring. These developments promise to significantly reshape the landscape of nuclear fuel reprocessing technologies.","Narrative review of AI applications in spent nuclear fuel reprocessing, organized into overview, application areas, challenges/limitations, conclusion, and future outlook. No formal search strategy or systematic review method is described.","AI applications are summarized across image monitoring, reaction modeling, extractant and material design, process control, data analysis, quality control, and safety assessment. Reported examples include >98% defect-detection accuracy, <0.5% error in radionuclide prediction, 88% accuracy for extractant screening, and ~71% fewer experiments with optimization methods.","AI is presented as a powerful tool for improving efficiency, safety, automation, and modeling in spent nuclear fuel reprocessing, especially when combined with physics-based models. Key limitations are data scarcity, black-box interpretability, reliability under extreme conditions, and cybersecurity risks."
